anio,cveestado,estado,cveddr,ddr,cvecader,cader,cvempio,municipio,cvecultivo,cultivo,cvevariedad,variedad,cveunidad,unidadmedida,cveciclo,ciclo,cvemoda,modalidad,sembrada,cosechada,siniestrada,produccion,rendimiento,pmr,valor
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,14200,FRIJOL,500,MAYOCOBA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,112.0,95.0,17.0,95.0,1.0,12000.0,1140000.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,14700,GARBANZO GRANO,100,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,290.0,0.0,290.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,16930,HORTALIZAS,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,8.0,0.0,8.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,19700,MAIZ GRANO,200,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,10539.36,3884.36,6655.0,27967.39,7.2,3725.0,104178527.8
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,24800,PASTOS Y PRADERAS EN VERDE,0,,500,Tonelada,3,PERENNES,1,RIEGO,72.0,72.0,0.0,522.0,7.25,650.0,339300.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,24900,PEPINO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,9.0,9.0,0.0,225.0,25.0,1500.0,337500.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,29500,SORGO GRANO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,2298.71,2298.71,0.0,11437.98,4.98,3500.0,40032930.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,30800,TOMATE ROJO (JITOMATE),800,SALADETTE,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,148.0,130.0,18.0,2860.0,22.0,1800.0,5148000.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,31000,TOMATE VERDE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,72.0,72.0,0.0,525.0,7.29,1500.0,787500.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,31500,TRIGO GRANO,100,CRISTALINO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,872.0,872.0,0.0,4054.0,4.65,3700.0,14999800.0
2011,25,SINALOA,133,LOS MOCHIS,8,RUIZ CORTINEZ,17,SINALOA,32250,VARIOS,0,,500,Tonelada,2,PRIMAVERA-VERANO,1,RIEGO,84.0,84.0,0.0,638.0,7.6,3500.0,2233000.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,800,AJONJOLÍ,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,5243.13,2322.71,2920.42,580.68,0.25,11500.0,6677820.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,1600,ALFALFA ACHICALADA,0,,500,Tonelada,3,PERENNES,1,RIEGO,25.0,25.0,0.0,107.5,4.3,2000.0,215000.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,5300,CACAHUATE,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,231.87,92.75,139.12,46.38,0.5,6200.0,287556.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,5800,CALABACITA,200,ITALIANA (Zucchini),500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,5.4,0.0,5.4,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,6900,CARTAMO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,173.02,86.51,86.51,155.72,1.8,6500.0,1012180.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,11400,CHILE VERDE,1300,ANAHEIM,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,30.4,0.0,30.4,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,12600,EJOTE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,14200,FRIJOL,100,AZUFRADO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,1162.0,371.0,791.0,408.0,1.1,12000.0,4896000.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,14700,GARBANZO GRANO,100,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,10143.41,0.0,10143.41,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,19700,MAIZ GRANO,200,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,1036.0,518.0,518.0,3677.8,7.1,3670.0,13497526.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,20300,MANDARINA,0,,500,Tonelada,3,PERENNES,1,RIEGO,20.0,0.0,20.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,20400,MANGO,300,HADEN,500,Tonelada,3,PERENNES,1,RIEGO,20.0,0.0,20.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,20400,MANGO,500,KENT,500,Tonelada,3,PERENNES,1,RIEGO,3.0,0.0,3.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,22400,NARANJA,400,VALENCIA,500,Tonelada,3,PERENNES,1,RIEGO,45.0,0.0,45.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,24800,PASTOS Y PRADERAS EN VERDE,0,,500,Tonelada,3,PERENNES,1,RIEGO,15.0,15.0,0.0,255.0,17.0,550.0,140250.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,24900,PEPINO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,2.35,0.0,2.35,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,28700,SANDIA,300,VERDE (JUBILIE),500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,6.0,2.0,4.0,56.0,28.0,3500.0,196000.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,29500,SORGO GRANO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,1966.42,983.21,983.21,5800.94,5.9,3800.0,22043572.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,30800,TOMATE ROJO (JITOMATE),400,INDUSTRIAL,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,255.32,15.83,239.49,474.9,30.0,5500.0,2611950.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,31000,TOMATE VERDE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,304.4,0.0,304.4,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,31200,TORONJA (POMELO),0,,500,Tonelada,3,PERENNES,1,RIEGO,20.0,0.0,20.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,134,GUASAVE,1,OCORONI,17,SINALOA,31500,TRIGO GRANO,400,SUAVE,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,3259.0,3259.0,0.0,12710.0,3.9,3800.0,48298000.0
